regions,departements,communes,district_dr,villages,id_men,culture_label,culture,superficie,production_kg,appreciation,principal_prod,principal_prod_other,transformer_production,type_transformation,type_transformation_other,destination_prod
Sédhiou,Bounkilling,BOGHAL,-,Fololo birane,2674,Riz,Riz,1,250,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,BOGHAL,-,Fololo birane,2674,Arachide,Arachide,2,980,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Sédhiou,Bounkilling,BOGHAL,-,Fololo birane,2674,Piment,Piment,1,75,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaolack,Kaolack,KEUR SOCE,-,Sagnaneme,2675,Mil,Mil,4,2000,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Sagnaneme,2675,Mais,Mais,3,1000,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Sagnaneme,2675,Arachide,Arachide,5,3000,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,KEUR SOCE,-,Sagnaneme,2675,Pastèque,Pastèque,2,10000,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Diourbel,Bambey,DANGALMA,-,Dangalma,2676,Mil,Mil,2,500,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Bambey,DANGALMA,-,Dangalma,2676,Niébé,Niébé,.5,150,Un peu plus faible,Peu de pluies,,Non,,,
Louga,Kébémer,KANENE NDIOB,-,Darou cisse,2677,Mil,Mil,4,4000,Un peu plus faible,Peu de pluies,,Non,,,
Louga,Kébémer,KANENE NDIOB,-,Darou cisse,2677,Niébé,Niébé,5,4000,Beaucoup plus faible,Insectes,,Non,,,
Louga,Kébémer,KANENE NDIOB,-,Darou cisse,2677,Arachide,Arachide,7.000000000000001,3000,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,SARE BIDJI,-,Temento goundo,2678,Sorgho,Sorgho,1,250,Un peu plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,SARE BIDJI,-,Temento goundo,2678,Mais,Mais,2,300,Un peu plus élevée,,,Non,,,
Kolda,Kolda,SARE BIDJI,-,Temento goundo,2678,Riz,Riz,.5,100,Un peu plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,SARE BIDJI,-,Temento goundo,2678,Arachide,Arachide,3,1000,Un peu plus élevée,,,Non,,,
Matam,Ranérou,VELINGARA,-,Woulidie,2679,Mil,Mil,1,200,Un peu plus élevée,,,Non,,,
Matam,Ranérou,VELINGARA,-,Woulidie,2679,Arachide,Arachide,2,400,Un peu plus élevée,,,Non,,,
Sédhiou,Bounkilling,DIAMBATY,-,Mankonoding,2680,Mil,Mil,2,890,Un peu plus faible,Divagation du bétail,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,DIAMBATY,-,Mankonoding,2680,Mais,Mais,2,230,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,DIAMBATY,-,Mankonoding,2680,Riz,Riz,2,900,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,DIAMBATY,-,Mankonoding,2680,Arachide,Arachide,2,1500,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Sédhiou,Bounkilling,DIAMBATY,-,Mankonoding,2680,Sésame,Sésame,2,400,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Diourbel,Bambey,REFANE,-,Ngangounné,2681,Mil,Mil,2,1300,La même,,,Non,,,
Diourbel,Bambey,REFANE,-,Ngangounné,2681,Arachide,Arachide,2,800,Un peu plus faible,Perte de fertilité du sol,,Oui plus de la moitié de la production,Décorticage,,Vente
Louga,Kébémer,THIEPPE,-,Mbeye,2682,Mil,Mil,1,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Louga,Kébémer,THIEPPE,-,Mbeye,2682,Niébé,Niébé,1,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Louga,Kébémer,THIEPPE,-,Mbeye,2682,Arachide,Arachide,1,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Agnack grand,2683,Mil,Mil,.002,1,Beaucoup plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Agnack grand,2683,Mais,Mais,.0025,2,Un peu plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Agnack grand,2683,Riz,Riz,.0025,2,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Velingara,OUASSADOU,-,Missira Thiourki,2684,Sorgho,Sorgho,.7500000000000001,435,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,OUASSADOU,-,Missira Thiourki,2684,Mais,Mais,.7500000000000001,400,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,OUASSADOU,-,Missira Thiourki,2684,Arachide,Arachide,1.5,400,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kolda,Velingara,OUASSADOU,-,Missira Thiourki,2684,Coton,Coton,.5,150,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,MEDINA EL HADJI,-,Ainnoumane,2685,Sorgho,Sorgho,.3333,140,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,MEDINA EL HADJI,-,Ainnoumane,2685,Mais,Mais,.287,60,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,MEDINA EL HADJI,-,Ainnoumane,2685,Riz,Riz,.1367,65,Un peu plus faible,Peu de pluies,,Oui toute la production,Brisure,,Autoconsommation
Kolda,Kolda,MEDINA EL HADJI,-,Ainnoumane,2685,Arachide,Arachide,1.2895,600,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaffrine,Birkelane,KEUR M’BOUKI,-,NGuer,2686,Mil,Mil,2,350,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,KEUR M’BOUKI,-,NGuer,2686,Mais,Mais,1,800,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Birkelane,KEUR M’BOUKI,-,NGuer,2686,Arachide,Arachide,2,2000,Un peu plus faible,Peu de pluies,,Non,,,
Thiès,Mbour,N!DIAGANIAO,-,Nguedj,2687,Mil,Mil,2,1800,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Matam,Matam,OGO,-,Sinthiou Garba,2688,Niébé,Niébé,.5,200,Un peu plus faible,Insectes,,Oui toute la production,Décorticage,,Autoconsommation
Louga,Linguère,SAGATTA DJOLOF,-,Drame,2689,Arachide,Arachide,2,450,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Ziguinchor,Oussouye,OUKOUT,-,Kahinda,2690,Riz,Riz,3.4,500,Un peu plus élevée,,,Oui toute la production,Brisure,,Autoconsommation & Vente
Kaffrine,Malem Hoddar,N’DIOUM N’GAINTH,-,Ndioum  Nguainth,2691,Mil,Mil,1,200,Beaucoup plus faible,Peu de pluies,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Ziguinchor,Ziguinchor,ADEANE,-,Koundioundou,2692,Riz,Riz,1.5,1800,Beaucoup plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Koundioundou,2692,Sésame,Sésame,.5,120,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Décorticage,,Vente
Tambacounda,Goudiry,KOULOR,-,Gaye paradji,2693,Mais,Mais,.5,250,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,GUIRO YERO BOCAR,-,Velingara woulou,2694,Mais,Mais,.5209,215,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,GUIRO YERO BOCAR,-,Velingara woulou,2694,Arachide,Arachide,.1574,135,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Thiès,Thiès,FANDENE,-,Payckoup serrere,2695,Sorgho,Sorgho,4,2000,Un peu plus faible,Peu de pluies,,Non,,,
Kaolack,Guinguinéo,NGUELOU,-,Nguelou disse,2696,Mil,Mil,3,500,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaolack,Guinguinéo,NGUELOU,-,Nguelou disse,2696,Niébé,Niébé,3,150,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Guinguinéo,NGUELOU,-,Nguelou disse,2696,Arachide,Arachide,3,1500,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kolda,Médina Yoro Foula,DINGUIRAYE,-,Hamdallaye,2697,Mil,Mil,.9872000000000001,600,Un peu plus faible,Peu de pluies,,Non,,,
Kolda,Médina Yoro Foula,DINGUIRAYE,-,Hamdallaye,2697,Sorgho,Sorgho,.2181,500,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Médina Yoro Foula,DINGUIRAYE,-,Hamdallaye,2697,Arachide,Arachide,5,1150,Un peu plus faible,Peu de pluies,,Non,,,
Sédhiou,Sédhiou,DIANNAH BA,-,Karcia,2698,Riz,Riz,2,300,Un peu plus faible,Peu de pluies,,Oui la moitié de la production,Décorticage,,Autoconsommation
Sédhiou,Sédhiou,DIANNAH BA,-,Karcia,2698,Niébé,Niébé,1,50,Un peu plus faible,Peu de pluies,,Non,,,
Sédhiou,Sédhiou,DIANNAH BA,-,Karcia,2698,Arachide,Arachide,2,2000,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
