"id_men","culture_label","superficie","production_kg"
269,"Aubergine",0.1417,12
269,"Tomate",0.2885,15
270,"Arachide",2,2500
270,"Mil",1.5,500
271,"Arachide",0.5,475
271,"Fonio",0.5,400
271,"Mais",1,900
272,"Arachide",0.7,950
272,"Riz",0.75,74
273,"Arachide",4,600
273,"Gombo",0.005,50
273,"Mil",2,800
274,"Arachide",1,500
274,"Mais",1,150
274,"Mil",2,200
274,"Sorgho",1,100
275,"Arachide",3,750
275,"Mil",1,300
275,"Niébé",2,600
276,"Arachide",6.3076,1000
276,"Mil",1.1634,500
276,"Sorgho",2.3868,300
277,"Arachide",3,2000
277,"Mais",1,100
277,"Mil",2,2300
278,"Arachide",1,500
278,"Mil",1,700
279,"Persil",0.12,200
280,"Niébé",2,0
281,"Arachide",0.2719,200
281,"Mil",0.3418,500
282,"Arachide",1,120
282,"Mais",1,412
282,"Mil",2,734
283,"Arachide",2,1400
283,"Mais",2,260
283,"Mil",3,2800
284,"Arachide",1,200
284,"Mil",1.5,600
284,"Niébé",0.5,35
285,"Mil",2,800
286,"Arachide",4,3500
286,"Mais",0.5,50
286,"Mil",4,3000
286,"Sorgho",2,300
287,"Mil",1,500
288,"Arachide",2,1600
288,"Mais",1,300
288,"Mil",3,2130
289,"Niébé",2,450
290,"Riz",1,400
291,"Arachide",3,2100
291,"Mil",3,500
292,"Arachide",1.25,400
292,"Mil",0.5,750
292,"Niébé",0.25,50
293,"Arachide",2,2100
293,"Riz",1.5,800
294,"Mil",2,100
295,"Arachide",2.5,1200
295,"Mil",2,800
295,"Niébé",0.5,35
296,"Arachide",4,2500
296,"Mil",4,1200
296,"Niébé",2,350
297,"Arachide",3,600
297,"Mais",1,240
297,"Mil",2.5,917
297,"Riz",0.75,0
298,"Arachide",23,22470
298,"Mais",3,1740
298,"Sorgho",2,1825
299,"Arachide",0.5,200
299,"Mais",0.5,200
299,"Niébé",0.25,10
300,"Arachide",1,400
300,"Mil",1,1500
301,"Arachide",5,500
301,"Mil",3,1000
302,"Sorgho",3,700
303,"Arachide",2,150
303,"Manioc",1,0
303,"Mil",1,500
304,"Riz",1.5,2500
305,"Arachide",0.35,200
305,"Mais",0.3,331
306,"Arachide",1,200
306,"Mil",1,450
306,"Niébé",1,150
307,"Riz",0.4,321
308,"Riz",0.75,900
309,"Arachide",2,1500
309,"Mais",1.5,1000
309,"Mil",1.5,1600
310,"Riz",1,900
311,"Arachide",2,650
311,"Mil",3,400
312,"Arachide",1.5,850
312,"Mais",0.5,400
312,"Mil",1,500
312,"Sésame",1,150
313,"Arachide",0.7,550
313,"Pastèque",0.003,12
313,"Riz",0.5,350
314,"Arachide",2,1000
314,"Mais",2,1500
315,"Riz",0.58575,668
316,"Riz",1,250
317,"Mais",1,400
317,"Mil",1,400
317,"Niébé",1,134
318,"Arachide",0.3,405
318,"Mais",0.25,350
318,"Sorgho",0.4,395
319,"Arachide",1.5,800
319,"Mais",0.8,250
319,"Mil",0.5,200
320,"Mil",0.5,120
321,"Mil",1,100
322,"Niébé",1,100
323,"Niébé",9,350
324,"Mais",1,550
325,"Mais",2,300
325,"Mil",2,300
326,"Arachide",2,2000
326,"Mil",1,1200
327,"Mais",1,500
327,"Mil",1,500
